Dataset,N,Kernel,reg_lambda,Method,method,top-k,|B|,q,Iter.,T_solve,T_total,RMSE,RMSE / RMSE_EFGP,Speedup
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,30000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_512,512.0,625.0,,1721.0,2.6168222069995863,2.7903137939997578,0.0278759085893782,0.999427848418307,3.1930473401088633
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,30000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_728,728.0,961.0,,1199.0,1.8413476880000417,2.014689001000079,0.0278759161092958,0.9994281180279967,4.422322270870256
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,30000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_1024,1024.0,1369.0,,851.0,1.3568699950001246,1.5302559299998393,0.0278759131975784,0.9994280136349347,5.822296691247544
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,30000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_2048,2048.0,2601.0,,494.0,1.02445735099991,1.1977041899999676,0.0278759153395472,0.9994280904303964,7.4389019529106255
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,30000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_4096,4096.0,5329.0,,241.0,1.330123341000217,1.503357662000326,0.0278759102409007,0.9994279076299224,5.926469969990459
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,30000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_2048_q192,2048.0,2601.0,192.0,1744.0,3.762507540000115,3.9361525460003577,0.0278759157781555,0.9994281061557079,2.2635311853076714
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,30000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_4096_q192,4096.0,5329.0,192.0,1876.0,3.530253814999924,3.7197924160000175,0.0278759378019297,0.999428895768473,2.3951885055942745
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,30000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_4096_q256,4096.0,5329.0,256.0,1359.0,2.7970236789997216,2.9795747729999675,0.0278759397452101,0.9994289654404103,2.9902266990364583
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,30000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_8192_q192,8192.0,10609.0,192.0,1988.0,3.740642998000112,3.920863286999975,0.0278759052162922,0.999427727483914,2.2723577400774735
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,30000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_8192_q256,8192.0,10609.0,256.0,1428.0,2.845836499999677,3.0203417009997797,0.027875905800961,0.9994277484458954,2.9498662469384778
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,30000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_8192_q320,8192.0,10609.0,320.0,1111.0,2.485851231000197,2.665748160000021,0.0278759048545517,0.9994277145145241,3.3422527197767726
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,30000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_16384_q192,16384.0,21025.0,192.0,2075.0,4.015469345999918,4.205027467000036,0.0278759234162611,0.9994283800027619,2.1187980596845697
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,30000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_16384_q256,16384.0,21025.0,256.0,1495.0,3.02016711799979,3.199817248999807,0.0278759232995629,0.9994283758188112,2.784410278676054
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,30000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_16384_q320,16384.0,21025.0,320.0,1170.0,2.616070769000089,2.7976296470001216,0.0278759215326447,0.9994283124699431,3.1846974625657483
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,30000000,SE,0.1,Active inverse,btab_auto_topk_512,512.0,625.0,,55.0,0.1082009670003572,0.2709792050000033,0.1326596204642331,0.9994898437955493,25.809069492988204
